Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_little_2,-9.66953409735349E-05,0.0131703851115681,-0.00510093520743077,0,0,0,0.00261913175532863,1.61202126201402E-07,-4.97996992197648E-08,7.72395884071064E-12,6.22418447396846E-08,1.70585616369573E-11,1.85396555993052E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_little_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_little_2.STL,,镜向小指指尖组件1211-2,l_12,a_12,left_little_2_joint,revolute,0.00711888977031677,0.0313339103514049,-0.000799999999999995,0,0,0,left_little_1,0,0,-1,1,2,0,1,,,,,,,,
left_little_rubber_2,7.99800886630564E-08,0.0112749035859891,-0.000128893404753347,0,0,0,0.000944677110750505,7.27256998745925E-08,8.79447839607026E-12,-4.11179878788644E-13,1.9751675428608E-08,-1.31114374351836E-08,7.28078257130206E-08,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_little_rubber_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_little_rubber_2.STL,,镜向小指指尖橡胶1111211-2,l_r_2,Axis_left_little_rubber_2_joint,left_little_rubber_2_joint,fixed,0.00605975881840989,0.0120279982928333,-0.00510001089644316,3.14068811224663,1.57007206953461,3.13379721155807,left_little_2,0,0,0,,,,,,,,,,,,
left_little_pad,4.26351734472696E-09,-0.000945394972293657,-0.000793541046852683,0,0,0,1.46539353671065E-05,1.40180735091283E-11,1.61934642105389E-17,1.17587638114188E-16,2.05087141535222E-11,-1.09095131218755E-12,3.10123565645623E-11,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_little_pad.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_little_pad.STL,,镜向小指指肚小件1211-2,l_p,Axis_left_little_pad_joint,left_little_pad_joint,fixed,0,0.0158106591438754,0.00622450775451257,0.234319162085704,-0.000724253436295822,0,left_little_rubber_2,0,0,0,,,,,,,,,,,,
left_little_tip,-0.000679511004398545,-7.33584859524683E-09,-0.0009899693704125,0,0,0,1.82383852219562E-05,2.78570131965694E-11,-6.23802723797684E-17,-2.37868618847864E-12,1.66773044526593E-11,4.01471577671419E-17,3.57549531689912E-11,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_little_tip.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_little_tip.STL,,镜向小指指尖小件1211-2,l_t,Axis_left_little_tip_joint,left_little_tip_joint,fixed,0,0.0235281291193634,0.00364792987438493,0.00195594039193604,-1.19148436669212,-1.57261259196533,left_little_rubber_2,0,0,0,,,,,,,,,,,,
left_thumb_1,0.000675346448543043,-0.00433551697891765,-0.00508780193489455,0,0,0,0.0048541771537782,1.96094051160198E-07,3.4858314687744E-08,-3.39249138133518E-09,1.43278984955152E-07,8.1983806766273E-09,1.68938152839344E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_1.STL,,镜向拇指基座R_RH56-21A1211-2,l_1,a_1,left_thumb_1_joint,revolute,0.0150000040088096,0.0342999999998856,0.00640000024786605,-1.5707963267949,0,0,l_hand_base,0,0,-1,1,2,0,1,,,,,,,,
left_thumb_2,0.0217021678253,0.0140075970723664,0.00802372797249204,0,0,0,0.011197324578883,1.69781612625836E-06,-7.99167330982163E-07,6.95615513975465E-10,1.86857468329596E-06,-2.37438335268391E-10,3.3501396961086E-06,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_2.STL,,镜向拇指根部1211-2,l_2,a_2,left_thumb_2_joint,revolute,0.0107038256289916,-0.00903759464150408,-0.00649999999999991,1.5707963267949,0,-1.30899693899575,left_thumb_1,0,0,1,1,2,0,1,,,,,,,,
left_thumb_rubber_1,5.40162647625353E-05,0.00265236291170259,-0.00524128392726222,0,0,0,0.0014906283411173,1.88752644928606E-07,-3.80267550036779E-11,-3.87652846240887E-10,8.68559982474995E-08,3.72404130676968E-09,2.26622483357037E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_rubber_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_rubber_1.STL,,镜向大拇指指根橡胶1111211-2,t_r_1,Axis_left_thumb_rubber_1_joint,left_thumb_rubber_1_joint,fixed,0.013046553810162,0.0313855611442985,0.00799913310995912,3.13815940276581,1.56040994467678,-0.950106044051694,left_thumb_2,0,0,0,,,,,,,,,,,,
left_thumb_3,0.009163924940713,-0.00021374698947753,0.00749980580117909,0,0,0,0.00226949921461618,2.51533206255898E-07,-6.42880570532076E-08,-1.61781119018821E-12,1.99322726365665E-07,-2.2825448825002E-12,2.99631274061669E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_3.STL,,镜向拇指中节1211-2,l_3,a_3,left_thumb_3_joint,revolute,0.0415838804016113,0.0375080548719081,0.000500000000000139,0,0,0,left_thumb_2,0,0,1,1,2,0,1,,,,,,,,
left_thumb_rubber_2,0.000162364162411777,-0.00288606836963476,-0.00905408809199784,0,0,0,0.000712407867806307,4.20918600490016E-08,1.57348854903248E-10,1.3517068967957E-10,5.19681055248487E-08,-8.47497937683654E-09,3.43794639288121E-08,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_rubber_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_rubber_2.STL,,镜向大拇指指中橡胶1111211-2,t_r_2,Axis_left_thumb_rubber_2_joint,left_thumb_rubber_2_joint,fixed,0.00507003292533287,0.0118736037354008,0.00749998784521017,3.1415926439814,1.5531258063565,-1.04754422345685,left_thumb_3,0,0,0,,,,,,,,,,,,
left_thumb_4,0.00556381842605758,0.00321786565136162,0.00598762078210302,0,0,0,0.000889838221404847,2.7865190017362E-08,-1.6746511102932E-08,-3.94753258813797E-11,2.7870091174862E-08,-9.78353772270228E-11,4.65705162837953E-08,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_4.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_4.STL,,镜向拇指指尖1211-2,l_4,a_4,left_thumb_4_joint,revolute,0.0183934390204584,0.0132218952161126,0.0015,0,0,0,left_thumb_3,0,0,1,1,2,0,1,,,,,,,,
left_thumb_rubber_3,0.000268126145379105,-0.00224962169943535,-0.00745388764640809,0,0,0,0.00232428792968957,1.17389753346854E-07,-2.01766145271159E-10,-5.32341724071498E-12,6.66695035665084E-08,5.60795555686444E-09,1.17533665402913E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_rubber_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_rubber_3.STL,,镜向大拇指指尖橡胶1111211-2,t_r_3,Axis_left_thumb_rubber_3_joint,left_thumb_rubber_3_joint,fixed,0.00161799622019054,0.00970901340884194,0.00599999825111228,3.1415305070896,1.53480155127221,-0.558130435251912,left_thumb_4,0,0,0,,,,,,,,,,,,
left_thumb_pad,-3.37221102708618E-08,0.00163135155510163,-0.00128514999690035,0,0,0,4.94551999339821E-05,1.38213576910352E-10,4.70832523464114E-16,1.49104319677674E-15,8.81925937138397E-11,-2.69646775933514E-12,1.80759780259597E-10,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_pad.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_pad.STL,,镜向拇指指肚小件1211-2,t_p,Axis_left_thumb_pad_joint,left_thumb_pad_joint,fixed,4.85806106777231E-05,-0.00783602820251542,-0.00134991116931751,0.280050125889912,-0.0359912824278135,-1.43908628784779E-05,left_thumb_rubber_3,0,0,0,,,,,,,,,,,,
left_thumb_tip,2.50035524579084E-05,-0.00144636222857047,-0.00180325426020556,0,0,0,6.08897929255959E-05,1.79108473399612E-10,4.05362271422047E-13,-3.71282029267751E-13,1.33990932373892E-10,-2.89649540571284E-11,2.06216102977108E-10,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_tip.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_thumb_tip.STL,,镜向拇指指尖小件1211-2,t_t,Axis_left_thumb_tip_joint,left_thumb_tip_joint,fixed,0.000289440688743703,-0.0147768013355046,-0.0080365466825163,1.37938246389059,-0.0332499608948743,0.0135335445391149,left_thumb_rubber_3,0,0,0,,,,,,,,,,,,
plam,0.00487540842855941,-0.00792635359084067,0.000407295131264501,0,0,0,0.0103867697204986,4.32579238755761E-06,1.82986381097834E-06,-1.24431557187443E-07,5.02135147645314E-06,6.08807203941714E-07,9.01588192460567E-06,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/plam.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/plam.STL,,镜向手掌橡胶1111211-2,plam,Axis_plam_joint,plam_joint,fixed,0.0124026678056337,0.0690814278199097,-0.0185014368261144,3.14159265242298,1.57079623022433,3.14159265242298,l_hand_base,0,0,0,,,,,,,,,,,,
