Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_ring_rubber_1,5.2155977003465E-07,-0.00027711873325572,-0.00810658713183562,0,0,0,0.00100744692221204,9.52590748325436E-08,3.14419307321927E-13,2.58919901200205E-12,6.33292870038947E-08,-1.10085765951351E-08,8.23741747990365E-08,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_rubber_1.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_rubber_1.STL,,无名指中节橡胶1111210-1,r_r_1,Axis_right_ring_rubber_1_joint,right_ring_rubber_1_joint,fixed,0.010962118330056,0.0154753071906455,0.00589999770412788,1.50432207039055,1.57079545829877,1.57079632679123,right_ring_1,0,0,0,,,,,,,,,,,,
right_ring_2,0.000846433960369861,0.0159697337276641,0.00510097835693506,0,0,0,0.00925228640460225,8.02618879630186E-07,-2.71404191071111E-07,-3.36930516319959E-11,2.63871764022255E-07,-7.22696351068233E-11,9.3134922642369E-07,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_2.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_2.STL,,食指指尖组件1210-2,r_10,a_10,right_ring_2_joint,revolute,0.00711888977031674,0.031333910351405,0.000800000000000002,0,0,0,right_ring_1,0,0,1,1,2,0,1,,,,,,,,
right_ring_rubber_2,3.86139388208707E-06,0.0158537656121268,-0.000683069774846418,0,0,0,0.00119005024637797,1.3590239064115E-07,9.33554288461451E-11,-8.65081377481606E-12,2.32706293689469E-08,-1.59652938631654E-08,1.37436006921243E-07,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_rubber_2.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_rubber_2.STL,,无名指指尖橡胶1111210-1,r_r_2,Axis_right_ring_rubber_2_joint,right_ring_rubber_2_joint,fixed,0.00685339412965266,0.0123693480371164,0.0050852021440689,1.69435491572921,1.55693797492977,1.5707963267949,right_ring_2,0,0,0,,,,,,,,,,,,
right_ring_pad,4.93671885636732E-06,-0.00107358739426554,-0.000867321750761263,0,0,0,4.91580616058684E-05,5.55789971203641E-11,2.8294541287042E-14,-3.17865063864846E-13,6.99839909074725E-11,-4.83793120453108E-12,1.11176836090907E-10,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_pad.STL,0.0549019607843137,0.0549019607843137,0.0549019607843137,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_pad.STL,,食指指肚小件1210-1,r_p,Axis_right_ring_pad_joint,right_ring_pad_joint,fixed,-3.19252405448149E-05,0.023788208012268,0.0056216455404758,0.069690128142456,5.13938714334209E-05,0.000413828517329857,right_ring_rubber_2,0,0,0,,,,,,,,,,,,
right_ring_tip,-0.000856664915059729,1.84558855676441E-08,-0.00102183703604268,0,0,0,4.85811800950388E-05,7.21518845124189E-11,-9.0667400067332E-16,-6.19024133610583E-12,4.3428909706311E-11,-6.22904562535281E-16,9.5117698350311E-11,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_tip.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_ring_tip.STL,,食指指尖小件1210-1,r_t,Axis_right_ring_tip_joint,right_ring_tip_joint,fixed,-1.40578386722194E-05,0.031221027471983,0.00245734551696726,0.0139894535346192,-1.15442399923571,-1.58358580818303,right_ring_rubber_2,0,0,0,,,,,,,,,,,,
right_little_1,0.000461535865010715,0.0116516313664566,0.00589997438900396,0,0,0,0.00881199742105912,1.40231644763056E-06,-1.11031114077316E-07,-6.64626601708415E-13,4.33616376568148E-07,-1.83961470302043E-11,1.46953909499787E-06,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_1.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_1.STL,,四指中节1210-4,r_11,a_11,right_little_1_joint,revolute,0.00194533363591419,0.103303988640658,-0.00963748173991816,-3.03687289847015,0,-3.14159265358979,r_hand_base,0,0,1,1,2,0,1,,,,,,,,
right_little_rubber_1,5.2001515208136E-07,-0.000277124167245069,-0.00810660264781775,0,0,0,0.00100745344385294,9.52596117756999E-08,2.53394691235758E-13,2.57916023682324E-12,6.33296358817012E-08,-1.10088359707623E-08,8.23744527124975E-08,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_rubber_1.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_rubber_1.STL,,小指中节橡胶1111210-1,l_r_1,Axis_right_little_rubber_1_joint,right_little_rubber_1_joint,fixed,0.0109621183300826,0.0154753071906525,0.00589999770412923,1.50432207044638,1.57079545804314,1.57079632684632,right_little_1,0,0,0,,,,,,,,,,,,
right_little_2,-9.65934753168612E-05,0.0131706385669229,0.00510089546104599,0,0,0,0.00735975645438557,4.52987650882817E-07,-1.39947116144588E-07,-1.99302269281013E-11,1.74903368778748E-07,-4.32909879788334E-11,5.20977818958806E-07,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_2.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_2.STL,,小指指尖组件1210-1,r_12,a_12,right_little_2_joint,revolute,0.00711888977031679,0.0313339103514049,0.0008,0,0,0,right_little_1,0,0,1,1,2,0,1,,,,,,,,
right_little_rubber_2,1.62425876137906E-07,0.0112748945844156,-0.000128890409676133,0,0,0,0.000944695125035103,7.2727499654919E-08,5.77567509575788E-13,3.35299338500849E-13,1.97518492029983E-08,-1.31116172495388E-08,7.2809424232253E-08,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_rubber_2.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_rubber_2.STL,,小指指尖橡胶1111210-1,l_r_2,Axis_right_little_rubber_2_joint,right_little_rubber_2_joint,fixed,0.00605975881840991,0.0120279982928333,0.00510001089644302,-1.56390542593735,1.5707956711438,-1.57079632686305,right_little_2,0,0,0,,,,,,,,,,,,
right_little_pad,1.18945155044847E-08,-0.000945393602624772,-0.000793542159615288,0,0,0,4.11773981011346E-05,3.93905948672135E-11,-7.32805647857825E-16,1.26379267654582E-16,5.76290636184782E-11,-3.06558460120779E-12,8.71440947947964E-11,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_pad.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_pad.STL,,小指指肚小件1210-1,l_p,Axis_right_little_pad_joint,right_little_pad_joint,fixed,0,0.0158106591438756,0.00622450938719539,0.234319161981939,0,0,right_little_rubber_2,0,0,0,,,,,,,,,,,,
right_little_tip,-0.000679510924646992,-6.02486744175068E-09,-0.000989969384403752,0,0,0,5.12498578797036E-05,7.82782292969908E-11,-1.77725923700193E-16,-6.68409720589241E-12,4.68632553260876E-11,4.1284142734597E-17,1.00471412022202E-10,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_tip.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_little_tip.STL,,小指指尖小件1210-1,l_t,Axis_right_little_tip_joint,right_little_tip_joint,fixed,0,0.0235281291193636,0.00364793083244132,0,-1.19148502417136,-1.57079698453249,right_little_rubber_2,0,0,0,,,,,,,,,,,,
plam,-0.00487476115199903,-0.00792590594901733,0.000407287403266149,0,0,0,0.0103872606304316,4.3257392285981E-06,-1.82977028635989E-06,1.24432802905896E-07,5.02164658576807E-06,6.08810899487125E-07,9.01614152174615E-06,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/plam.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/plam.STL,,手掌橡胶1111210-1,plam,Axis_plam_joint,plam_joint,fixed,-0.0127026875381151,0.0690813613769987,0.0114985605408958,-3.14159265245797,-1.57079623022433,3.14159265245797,r_hand_base,0,0,0,,,,,,,,,,,,
